Verband;Saison;Meisterschaft;Region;Altersklasse;Liga;Gruppe;VereinVerband;VereinRegion;VereinNr;VereinName;MannschaftAltersklasse;MannschaftNr;Rang;Begegnungen;Siege;Unentschieden;Niederlagen;BaelleGewonnen;BaelleVerloren;SaetzeGewonnen;SaetzeVerloren;SpieleGewonnen;SpieleVerloren;PunkteGewonnen;PunkteVerloren;Status
WTTV;2026/27;Bezirk Ostwestfalen/Lippe 2026/27;Ostwestfalen/Lippe;Erwachsene;2. Bezirksliga Erwachsene;2. Bezirksliga 1 Erwachsene;WTTV;Ostwestfalen/Lippe;42621;TSV Bentrup-Lossbruch;Erwachsene;1;11;0;0;0;0;0;0;0;0;0;0;0;0;
WTTV;2026/27;Bezirk Ostwestfalen/Lippe 2026/27;Ostwestfalen/Lippe;Erwachsene;2. Bezirksliga Erwachsene;2. Bezirksliga 1 Erwachsene;WTTV;Ostwestfalen/Lippe;42617;VfL Hiddesen-Pivitsheide;Erwachsene;1;12;0;0;0;0;0;0;0;0;0;0;0;0;
WTTV;2026/27;Bezirk Ostwestfalen/Lippe 2026/27;Ostwestfalen/Lippe;Erwachsene;2. Bezirksliga Erwachsene;2. Bezirksliga 2 Erwachsene;WTTV;Ostwestfalen/Lippe;42702;TTV Salzkotten;Erwachsene;2;1;0;0;0;0;0;0;0;0;0;0;0;0;
WTTV;2026/27;Bezirk Ostwestfalen/Lippe 2026/27;Ostwestfalen/Lippe;Erwachsene;2. Bezirksliga Erwachsene;2. Bezirksliga 2 Erwachsene;WTTV;Ostwestfalen/Lippe;42708;SC Borchen;Erwachsene;1;2;0;0;0;0;0;0;0;0;0;0;0;0;
WTTV;2026/27;Bezirk Ostwestfalen/Lippe 2026/27;Ostwestfalen/Lippe;Erwachsene;2. Bezirksliga Erwachsene;2. Bezirksliga 2 Erwachsene;WTTV;Ostwestfalen/Lippe;42722;DJK Graf Sporck 1920 e.V. Delbrück;Erwachsene;1;3;0;0;0;0;0;0;0;0;0;0;0;0;
WTTV;2026/27;Bezirk Ostwestfalen/Lippe 2026/27;Ostwestfalen/Lippe;Erwachsene;2. Bezirksliga Erwachsene;2. Bezirksliga 2 Erwachsene;WTTV;Ostwestfalen/Lippe;42712;TuRa Elsen;Erwachsene;5;4;0;0;0;0;0;0;0;0;0;0;0;0;
WTTV;2026/27;Bezirk Ostwestfalen/Lippe 2026/27;Ostwestfalen/Lippe;Erwachsene;2. Bezirksliga Erwachsene;2. Bezirksliga 2 Erwachsene;WTTV;Ostwestfalen/Lippe;42710;TTC Bad Lippspringe;Erwachsene;1;5;0;0;0;0;0;0;0;0;0;0;0;0;
WTTV;2026/27;Bezirk Ostwestfalen/Lippe 2026/27;Ostwestfalen/Lippe;Erwachsene;2. Bezirksliga Erwachsene;2. Bezirksliga 2 Erwachsene;WTTV;Ostwestfalen/Lippe;42707;SC Victoria Neuenbeken;Erwachsene;1;6;0;0;0;0;0;0;0;0;0;0;0;0;
WTTV;2026/27;Bezirk Ostwestfalen/Lippe 2026/27;Ostwestfalen/Lippe;Erwachsene;2. Bezirksliga Erwachsene;2. Bezirksliga 2 Erwachsene;WTTV;Ostwestfalen/Lippe;42709;TTC Paderborn e.V.;Erwachsene;2;7;0;0;0;0;0;0;0;0;0;0;0;0;
WTTV;2026/27;Bezirk Ostwestfalen/Lippe 2026/27;Ostwestfalen/Lippe;Erwachsene;2. Bezirksliga Erwachsene;2. Bezirksliga 2 Erwachsene;WTTV;Ostwestfalen/Lippe;42706;SC GW Paderborn;Erwachsene;3;8;0;0;0;0;0;0;0;0;0;0;0;0;
WTTV;2026/27;Bezirk Ostwestfalen/Lippe 2026/27;Ostwestfalen/Lippe;Erwachsene;2. Bezirksliga Erwachsene;2. Bezirksliga 2 Erwachsene;WTTV;Ostwestfalen/Lippe;42720;SC Concordia 1919 Scharmede e.V.;Erwachsene;1;9;0;0;0;0;0;0;0;0;0;0;0;0;
WTTV;2026/27;Bezirk Ostwestfalen/Lippe 2026/27;Ostwestfalen/Lippe;Erwachsene;2. Bezirksliga Erwachsene;2. Bezirksliga 2 Erwachsene;WTTV;Ostwestfalen/Lippe;42712;TuRa Elsen;Erwachsene;6;10;0;0;0;0;0;0;0;0;0;0;0;0;
WTTV;2026/27;Bezirk Ostwestfalen/Lippe 2026/27;Ostwestfalen/Lippe;Erwachsene;2. Bezirksliga Erwachsene;2. Bezirksliga 2 Erwachsene;WTTV;Ostwestfalen/Lippe;42718;SV Heide Paderborn;Erwachsene;2;11;0;0;0;0;0;0;0;0;0;0;0;0;
